repo,stars,size_kb,age_days,open_issues,language,ci_pass_pct,ci_total,pr_merge_hours,pr_merged_count,releases_per_week,release_count_90d,has_actions,type
maurosoria/dirsearch,14089,22585,4705,38,Python,70,10,0,17,0.08,1,1,code
robfig/cron,14087,180,5003,166,Go,,0,10.9,1,0,0,0,code
XAMPPRocky/tokei,14078,3003,3948,225,Rust,75,20,21.5,16,0.08,1,1,code
yoavbls/pretty-ts-errors,14075,6754,1295,29,TypeScript,85,20,50.6,13,0.08,1,1,code
geldata/gel,14072,75597,3183,943,Python,89,19,19.7,16,0,0,1,code
triggerdotdev/trigger.dev,14066,157898,1204,231,TypeScript,86,7,10.5,17,1.56,20,1,code
jbranchaud/til,14062,3320,4057,23,Vim Script,100,1,305.5,11,0,0,1,code
microsoft/ai-edu,14058,989499,2679,98,HTML,100,20,21.1,14,0,0,1,code
MengTo/Spring,14057,925,4100,165,Swift,,0,294.1,7,0,0,0,code
markets/awesome-ruby,14050,2841,4276,10,unknown,100,2,73.3,11,0,0,1,non-code
tpope/vim-surround,14050,129,6397,139,Vim Script,,0,2.4,9,0,0,0,code
oauth2-proxy/oauth2-proxy,14050,20180,3092,239,Go,94,18,373.2,11,0.31,4,1,code
farhanashrafdev/90DaysOfCyberSecurity,14046,92,1151,9,unknown,,0,0,17,0,0,0,non-code
sunface/rust-by-practice,14044,2875,2891,63,Rust,40,5,9807.6,9,0,0,1,code
neutraltone/awesome-stock-resources,14043,791,3791,31,Ruby,16,19,455.3,12,0,0,1,non-code
tradingview/lightweight-charts,14040,138473,2490,121,TypeScript,90,20,35.8,16,0,0,1,code
diesel-rs/diesel,14038,132150,3853,168,Rust,100,16,116.6,16,0.23,3,1,code
adobe-webplatform/Snap.svg,14023,3624,4597,267,JavaScript,,0,311.4,13,0,0,0,code
amir1376/ab-download-manager,14022,7962,619,372,Kotlin,100,20,0.3,19,0.62,8,1,code
vosen/ZLUDA,14018,10467,2264,148,Rust,58,19,25.1,20,1.56,20,1,code
kekingcn/kkFileView,14015,664615,3018,49,Java,100,20,0.4,10,0,0,1,code
marcuswestin/store.js,14013,621,5742,99,JavaScript,,0,1671.3,9,0,0,0,code
ZachGoldberg/Startup-CTO-Handbook,14011,6388,887,8,unknown,,0,2.2,16,0,0,0,non-code
danilowoz/react-content-loader,14001,6630,3344,21,TypeScript,100,20,2,10,0.08,1,1,code
ibireme/YYKit,14000,56960,4725,307,Objective-C,,0,372.1,5,0,0,0,code
cloudwu/skynet,14000,5240,4977,28,C,100,19,2.7,17,0,0,1,code
Netflix/zuul,13997,6574,4753,6,Java,100,20,1.3,16,1.32,17,1,code
plouc/nivo,13994,421663,3623,48,TypeScript,47,17,78.3,11,0,0,1,code
soybeanjs/soybean-admin,13994,14872,1652,5,TypeScript,100,9,2.1,16,0.16,2,1,code
smartcontractkit/full-blockchain-solidity-course-js,13994,4191,1521,104,unknown,,0,2883,8,0,0,0,non-code
google/yapf,13991,2670,4018,413,Python,100,20,90.5,4,0,0,1,code
idank/explainshell,13985,1130,4583,161,Python,36,11,203.8,9,0.08,1,1,code
arut/nginx-rtmp-module,13985,3176,5117,1151,C,,0,1481.5,1,0,0,0,code
LibreTranslate/LibreTranslate,13983,4143,1915,112,Python,100,20,0.3,13,0.54,7,1,code
thanos-io/thanos,13982,236102,3059,855,Go,95,20,23.1,17,0.23,3,1,code
dense-analysis/ale,13978,19930,3477,596,Vim Script,70,10,421.6,18,0,0,1,code
muratcankoylan/Agent-Skills-for-Context-Engineering,13967,3787,87,16,Python,,0,0,15,0.16,2,0,code
apache/druid,13961,414258,4894,790,Java,74,19,50.4,20,0.08,1,1,code
